County,cluster_number,cluster_type,respondent_sex,respondent_age,education_completed_raw,education_completed_other,female_hh_highest_education,emergency_access_area_type,income_source_farming,income_source_employment,income_source_casual_work,income_source_self_employment,income_source_social_transfer,income_source_rental_income,income_source_investments,income_source_pension_annuity,income_source_family_support,monthly_income_ksh,trusted_financial_provider,insurance_doc_barrier_no_insurance,insurance_doc_barrier_not_in_own_name,loan_barrier_low_income_to_repay,loan_barrier_inadequate_documentation,savings_barrier_distrust_institutions,bank_barrier_distrust_banks,sacco_barrier_lack_of_trust,mobile_money_barrier_untrustworthy_agents,formal_account_barrier_distrust,cost_to_nearest_bank,walk_time_to_nearest_bank,cost_to_nearest_mobile_money_agent,walk_time_to_nearest_mobile_money_agent,cost_to_nearest_bank_agent,walk_time_to_nearest_bank_agent,education,education_femHH,education_anyHH,bank_usage,insurance_usage,mobile_bank_usage,mobile_money_usage,incomegp,mobile_money_access,mobile_money_active,incomegpnew,incomegp_new,financially_included
Taita-Taveta,10106053,Rural,Female,38,"""Primary completed""",,Primary completed,No,No,No,Yes,No,No,No,No,No,Yes,3000,"""Don't know(DO NOT READ OUT)""",,,,,No,No,No,No,No,Between KSh 101- 200,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Primary,Primary,Primary,Never had,Never had,Never had,Never had,KSh 1501 - 3000,No,No,"KSh 1,001 - 3,000",< KSh 3000,0
Murang'a,10221094,Rural,Male,23,"""Primary completed""",,,Yes,No,No,No,No,No,No,No,No,Yes,3000,A bank,,,,,,,No,,,Between KSh 51- 100,More than 3 hours,,,Between KSh 51 - 100,"""Don't know(DO NOT READ OUT)""",Primary,No Female HH head,Primary,Currently have,Never had,Currently have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Kilifi,10203014,Rural,Female,81,"""None """,,,No,No,No,No,No,No,No,No,No,Yes,3000,Mobile banking provider,,,,,,No,No,,No,More than KSh 500,About 1 to 3 hours,,,More than KSh 500,About 1 to 3 hours,,No Female HH head,,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,No,"KSh 1,001 - 3,000",< KSh 3000,1
Busia,10240018,Rural,Male,19,"""Primary completed""",,No female household head/spouse,No,No,No,Yes,No,No,No,No,No,No,2000,A group / chama,,,,,No,No,No,No,No,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,Primary,No Female HH head,Primary,Never had,Never had,Never had,Never had,KSh 1501 - 3000,No,No,"KSh 1,001 - 3,000",< KSh 3000,0
Embu,10114001,Rural,Female,70,"""Some primary """,,,No,Yes,No,Yes,No,No,No,No,No,No,1300,"""None of these(DO NOT READ OUT)""",,,,,No,No,No,No,No,,,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,Primary,No Female HH head,Primary,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1,001 - 3,000",< KSh 3000,0
Kiambu,10222050,Rural,Female,16,"""Some secondary""",,Secondary completed,Yes,No,No,No,No,No,No,No,No,Yes,"""Don't know(DO NOT READ OUT)""",A bank,,Yes,,,No,No,No,No,No,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,Secondary,Secondary,Secondary,Never had,Never had,Never had,Never had,Don't Know,No,No,Don't Know,Others,0
Embu,10214082,Rural,Male,19,Some university,,No female household head/spouse,Yes,No,No,No,No,No,No,No,No,Yes,5000,Mobile money provider e.g Safaricom fuliza,,,,,,,No,,No,Between KSh 101- 200,More than 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,Tertiary,No Female HH head,Tertiary,Currently have,Never had,Currently have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Migori,10244098,Rural,Male,16,"""Primary completed""",,No female household head/spouse,No,No,No,No,No,No,No,No,No,Yes,1500,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,No,No,Between KSh 101- 200,More than 3 hours,,,Between KSh 101 - 200,More than 3 hours,Primary,No Female HH head,Primary,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1,001 - 3,000",< KSh 3000,0
Siaya,10241150,Urban,Female,30,"""Primary completed""",,,Yes,No,No,Yes,No,No,No,No,No,No,3000,A bank,,,,,No,No,No,,No,Less than KSh 50,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Primary,No Female HH head,Primary,Never had,Never had,Never had,Used to have,KSh 1501 - 3000,Yes,No,"KSh 1,001 - 3,000",< KSh 3000,0
Isiolo,10211098,Rural,Male,16,"""Some secondary""",,"""None""",No,No,No,No,No,No,No,No,No,Yes,800,A bank,,,,,,No,No,No,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,Secondary,,Secondary,Never had,Never had,Never had,Never had,KSh 101 - 1500,Yes,No,"KSh 1 - 1,000",< KSh 3000,0
Garissa,10207130,Urban,Female,17,"""Some secondary""",,"""None""",No,No,No,No,No,No,No,No,No,Yes,17500,"""Don't know(DO NOT READ OUT)""",,,,,No,No,No,No,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,,Secondary,Never had,Never had,Never had,Never had,KSh 15001 - 30000,No,No,"KSh 10,001-20,000",KSh 15001 - 30000,0
Nandi,10129025,Rural,Male,51,"""Some primary """,,Some primary,No,No,No,Yes,No,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Between KSh 101- 200,More than 3 hours,,,Between KSh 101 - 200,More than 3 hours,Primary,Primary,Primary,Never had,Never had,Never had,Currently have,Don't Know,Yes,No,Don't Know,Others,1
Machakos,10216102,Rural,Male,57,"""Primary completed""",,Primary completed,No,Yes,No,No,No,No,No,No,No,Yes,6000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,,Between KSh 201- 500,More than 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,Primary,Primary,Primary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Bomet,10236070,Rural,Male,30,"""Secondary completed """,,,No,Yes,No,No,No,No,No,No,No,No,5000,A Sacco,,,No,,,No,,,,Between KSh 101- 200,More than 3 hours,,,Between KSh 101 - 200,More than 3 hours,Secondary,No Female HH head,Secondary,Currently have,Never had,Currently have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Kisumu,10242062,Rural,Female,75,"""Secondary completed """,,,No,Yes,No,No,No,No,No,No,Yes,No,15000,A bank,,,,,,,No,,,Between KSh 101- 200,Between 30 minutes to 1 hour,,,Between KSh 101 - 200,Between 30 minutes to 1 hour,Secondary,No Female HH head,Secondary,Currently have,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Nairobi City,10247058,Urban,Male,25,"""Secondary completed """,,"""Some secondary""",No,No,Yes,No,No,No,No,No,No,No,"""Refused to Answer(DO NOT READ OUT)""",A bank,,,,,,,No,,,Close enough to walk  No need to spend,Under 10 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,Secondary,Secondary,Currently have,Currently have,Currently have,Currently have,Refused to Answer,Yes,Yes,Refused to Answer,,1
Narok,10233122,Rural,Female,60,"""Some primary """,,Some primary,No,Yes,No,No,No,No,No,No,No,No,3000,"""None of these(DO NOT READ OUT)""",,,,,No,No,No,,No,More than KSh 500,More than 3 hours,,,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",Primary,Primary,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,No,"KSh 1,001 - 3,000",< KSh 3000,1
Kisii,10145021,Rural,Female,70,"""None """,,,No,No,No,No,Yes,No,No,No,No,No,1500,"""None of these(DO NOT READ OUT)""",,,,,No,No,No,No,No,Between KSh 101- 200,Cant Walk,,,Between KSh 101 - 200,Cant Walk,,No Female HH head,,Never had,Never had,Never had,Never had,KSh 101 - 1500,Yes,No,"KSh 1,001 - 3,000",< KSh 3000,0
Meru,10212126,Rural,Male,56,"""Some primary """,,Some primary,No,Yes,No,No,No,No,No,No,No,No,500,"""Don't know(DO NOT READ OUT)""",,,,,No,No,No,,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,Primary,Primary,Never had,Never had,Never had,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1 - 1,000",< KSh 3000,1
Embu,10214182,Urban,Male,22,"""Some secondary""",,No female household head/spouse,No,No,No,Yes,No,No,No,No,No,No,12000,A bank,,,,,No,No,No,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,No Female HH head,Secondary,Currently have,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Mandera,10209210,Urban,Female,90,"""None """,,,No,No,No,No,No,No,No,No,No,Yes,3000,A bank,,,,,No,No,No,,No,More than KSh 500,More than 3 hours,More than KSh 500,About 10 to 30 minutes,Between KSh 51 - 100,About 10 to 30 minutes,,No Female HH head,,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Nyandarua,10218062,Rural,Male,21,"""Some secondary""",,,No,Yes,No,No,No,No,No,No,No,No,2500,A bank,,,,,No,No,Yes,,No,Between KSh 201- 500,More than 3 hours,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,No Female HH head,Secondary,Used to have,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,No,"KSh 1,001 - 3,000",< KSh 3000,1
Machakos,10216194,Urban,Female,46,"""Some secondary""",,No female household head/spouse,No,No,No,Yes,No,No,No,No,No,No,10000,A bank,,,,,,No,No,No,No,Close enough to walk  No need to spend,Under 10 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,No Female HH head,Secondary,Never had,Never had,Never had,Never had,KSh 7501-15000,Yes,No,"KSh 5,001 - 10,000",KSh 7501-15000,0
Kitui,10215118,Rural,Male,42,Completed technical training after secondary school,,Primary completed,No,No,Yes,No,No,No,No,No,No,No,25000,A bank,,,,,,,,,No,More than KSh 500,More than 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,Tertiary,Primary,Tertiary,Currently have,Never had,Currently have,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 20,001 - 50,000",KSh 15001 - 30000,1
Bungoma,10139045,Rural,Male,53,Completed technical training after secondary school,,Completed technical training after secondary school,No,No,Yes,No,No,No,No,No,No,No,10000,A Sacco,,,No,,,,,,No,Between KSh 51- 100,More than 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,Tertiary,Tertiary,Tertiary,Currently have,Never had,Currently have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Trans Nzoia,10226002,Rural,Female,16,"""Primary completed""",,Primary completed,Yes,No,No,No,No,No,No,No,No,Yes,500,A bank,Yes,,,,,No,No,No,No,Between KSh 101- 200,More than 3 hours,,,Between KSh 101 - 200,More than 3 hours,Primary,Primary,Primary,Never had,Never had,Never had,Never had,KSh 101 - 1500,Yes,No,"KSh 1 - 1,000",< KSh 3000,0
Homabay,10243090,Rural,Female,20,"""Secondary completed """,,Some primary,No,Yes,No,Yes,Yes,No,No,No,No,Yes,4000,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,,No,Less than KSh 50,Between 30 minutes to 1 hour,,,Less than KSh 50,Between 30 minutes to 1 hour,Secondary,Primary,Secondary,Used to have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Nakuru,10232206,Urban,Female,19,"""Some primary """,,,No,No,No,No,No,No,No,No,No,Yes,8000,"""Don't know(DO NOT READ OUT)""",,,,,,No,No,,No,Less than KSh 50,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
West Pokot,10224006,Rural,Male,25,Some university,,"""None""",No,No,No,Yes,No,No,No,No,No,Yes,3000,A group / chama,,,,,,,,,,Between KSh 201- 500,More than 3 hours,,,Less than KSh 50,About 10 to 30 minutes,Tertiary,,Tertiary,Currently have,Never had,Currently have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Meru,10212042,Rural,Female,34,"""Some primary """,,,Yes,No,No,No,No,No,No,No,No,Yes,10000,A bank,,,,,,No,No,,,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Mandera,10109113,Rural,Female,32,"""None """,,"""None""",No,Yes,No,No,No,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,More than KSh 500,More than 3 hours,,,Between KSh 201 - 500,More than 3 hours,,,,Never had,Never had,Never had,Currently have,Don't Know,Yes,No,Don't Know,Others,1
Garissa,10207130,Urban,Female,36,"""None """,,"""None""",No,No,No,Yes,No,No,No,No,No,No,30000,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,,,,Never had,Never had,Never had,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 20,001 - 50,000",KSh 15001 - 30000,1
Marsabit,10110013,Rural,Male,27,"""None """,,"""None""",No,No,No,Yes,No,No,No,No,No,No,5000,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,,No,More than KSh 500,More than 3 hours,More than KSh 500,More than 3 hours,,,,,,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Kirinyaga,10120153,Urban,Male,31,"""University completed """,,"""University completed""",Don't Know,No,Yes,No,No,No,No,No,No,No,30000,A bank,,,,,,,,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Tertiary,Tertiary,Tertiary,Currently have,Currently have,Currently have,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 20,001 - 50,000",KSh 15001 - 30000,1
Kericho,10135101,Rural,Female,59,"""Some primary """,,,No,No,No,No,No,No,No,No,No,Yes,5000,A group / chama,,,,,,No,No,,,Between KSh 51- 100,More than 3 hours,,,Close enough to walk to and fro -  No need to spend,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Wajir,10208194,Urban,Female,32,"""Secondary completed """,,Secondary completed,Yes,No,Yes,No,No,No,No,No,No,No,38000,A bank,,,,,,,Yes,,No,Close enough to walk  No need to spend,Under 10 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,Secondary,Secondary,Currently have,Currently have,Currently have,Currently have,KSh 30001 - 70000,Yes,Yes,"KSh 20,001 - 50,000",KSh 30001 - 70000,1
Homabay,10243102,Rural,Male,39,"""University completed """,,"""University completed""",Yes,Yes,Yes,No,No,No,No,Yes,No,No,25000,A bank,,,,,,,No,,,Close enough to walk  No need to spend,Under 10 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Tertiary,Tertiary,Tertiary,Currently have,Used to have,Currently have,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 20,001 - 50,000",KSh 15001 - 30000,1
Machakos,10216106,Rural,Male,41,"""Primary completed""",,,No,Yes,No,No,No,No,No,No,No,Yes,2000,Mobile money provider e.g Safaricom fuliza,,,No,,,,No,,,Between KSh 101- 200,More than 3 hours,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Currently have,Currently have,Currently have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Kakamega,10137073,Rural,Male,16,"""Some secondary""",,Primary completed,No,No,No,No,No,No,No,No,No,Yes,"""Don't know(DO NOT READ OUT)""",Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",,,"""Don't know(DO NOT READ OUT)""","""Don't know(DO NOT READ OUT)""",Secondary,Primary,Secondary,Never had,Never had,Never had,Never had,Don't Know,Yes,No,Don't Know,Others,0
Homabay,10243006,Rural,Female,16,"""Some secondary""",,Some primary,No,No,No,No,No,No,No,No,No,Yes,300,A group / chama,,Yes,,,No,No,No,No,No,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,Secondary,Primary,Secondary,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1 - 1,000",< KSh 3000,0
Kakamega,10237114,Rural,Male,48,"""Primary completed""",,,No,No,No,No,No,No,No,No,No,Yes,"""Don't know(DO NOT READ OUT)""",A bank,,,Yes,,,,No,,,Between KSh 101- 200,Between 30 minutes to 1 hour,,,Between KSh 101 - 200,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Currently have,Never had,Currently have,Currently have,Don't Know,Yes,No,Don't Know,Others,1
Kilifi,10203122,Urban,Female,23,Some technical training after secondary school,,Some technical training after secondary school,No,No,Yes,No,No,No,No,No,No,No,5000,A bank,,,,,,,No,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Tertiary,Tertiary,Tertiary,Currently have,Never had,Currently have,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Wajir,10108113,Rural,Male,53,"""None """,,No female household head/spouse,No,No,No,Yes,No,No,No,No,No,No,10000,"""None of these(DO NOT READ OUT)""",,,,,,No,No,,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,,No Female HH head,,Never had,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Marsabit,10210106,Rural,Female,20,"""Primary completed""",,"""None""",No,No,No,No,No,No,No,No,No,Yes,5000,A bank,,,,,No,No,No,No,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,Primary,,Primary,Never had,Never had,Never had,Never had,KSh 3001 - 7500,No,No,"KSh 3,001 - 5,000",KSh 3001 - 7500,0
Kisumu,10242046,Rural,Female,18,"""Some secondary""",,"""None""",No,No,No,Yes,No,No,No,No,No,No,500,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,,No,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 101 - 200,More than 3 hours,Secondary,,Secondary,Never had,Never had,Never had,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1 - 1,000",< KSh 3000,1
Wajir,10208154,Urban,Female,16,"""Some secondary""",,"""None""",No,No,Yes,No,No,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",A bank,,,,,No,No,No,No,No,Between KSh 201- 500,More than 3 hours,,,Between KSh 201 - 500,More than 3 hours,Secondary,,Secondary,Never had,Never had,Never had,Never had,Don't Know,No,No,Don't Know,Others,0
Machakos,10216038,Rural,Male,56,"""Some primary """,,,No,No,No,No,No,No,No,No,No,Yes,2000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,No,,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,Primary,No Female HH head,Primary,Never had,Currently have,Never had,Never had,KSh 1501 - 3000,No,No,"KSh 1,001 - 3,000",< KSh 3000,1
Isiolo,10211114,Urban,Female,40,"""University completed """,,,No,Yes,Yes,No,No,No,No,No,No,No,20000,A bank,,,,,,,,,,More than KSh 500,More than 3 hours,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Tertiary,No Female HH head,Tertiary,Currently have,Used to have,Never had,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 10,001-20,000",KSh 15001 - 30000,1
Lamu,10105145,Urban,Male,30,"""Secondary completed """,,No female household head/spouse,No,No,Yes,No,No,No,No,No,No,No,20000,A bank,,,,,,,Yes,,Yes,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,No Female HH head,Secondary,Currently have,Never had,Never had,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 10,001-20,000",KSh 15001 - 30000,1
Kericho,10135189,Urban,Female,48,"""Secondary completed """,,,No,No,No,No,Yes,No,No,No,No,No,15000,A bank,,,,,,,No,,No,Close enough to walk  No need to spend,Under 10 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,No Female HH head,Secondary,Currently have,Never had,Currently have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Kisii,10245114,Rural,Male,25,"""Secondary completed """,,,No,No,No,Yes,No,No,No,No,No,No,1000,Mobile money provider e.g Safaricom fuliza,,,Yes,,,No,No,,No,Between KSh 101- 200,More than 3 hours,,,Less than KSh 50,Between 30 minutes to 1 hour,Secondary,No Female HH head,Secondary,Used to have,Never had,Used to have,Currently have,KSh 101 - 1500,Yes,No,"KSh 1 - 1,000",< KSh 3000,1
Vihiga,10238078,Rural,Female,83,"""Some primary """,,,No,No,No,No,No,Yes,No,No,No,Yes,2000,A bank,,,,,,,No,No,,Less than KSh 50,About 1 to 3 hours,,,Less than KSh 50,About 10 to 30 minutes,Primary,No Female HH head,Primary,Currently have,Never had,Used to have,Used to have,KSh 1501 - 3000,Yes,No,"KSh 1,001 - 3,000",< KSh 3000,1
Uasin Gishu,10227222,Urban,Male,28,"""University completed """,,Completed technical training after secondary school,No,No,Yes,No,No,No,No,No,No,No,20000,A bank,,,,,,,No,,No,Less than KSh 50,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Tertiary,Tertiary,Tertiary,Currently have,Currently have,Used to have,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 10,001-20,000",KSh 15001 - 30000,1
Machakos,10216006,Rural,Male,21,"""Some primary """,,,No,No,No,Yes,No,No,No,No,No,Yes,1800,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,,No,Between KSh 201- 500,About 1 to 3 hours,,,Between KSh 201 - 500,About 1 to 3 hours,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Nairobi City,10247246,Urban,Female,40,"""Secondary completed """,,,No,No,No,No,Yes,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",A bank,,,,,No,,No,,No,Less than KSh 50,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,No Female HH head,Secondary,Currently have,Never had,Currently have,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Homabay,10143177,Urban,Female,37,Completed technical training after secondary school,,Secondary completed,No,No,No,Yes,No,No,No,No,No,No,1500,"""None of these(DO NOT READ OUT)""",,,No,,No,No,No,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,Between 30 minutes to 1 hour,Tertiary,Secondary,Tertiary,Used to have,Never had,Used to have,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Kericho,10235106,Rural,Female,24,"""Some primary """,,,No,No,No,Yes,No,No,No,No,No,No,4000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,,Between KSh 51- 100,About 1 to 3 hours,,,Between KSh 51 - 100,About 1 to 3 hours,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
West Pokot,10224070,Rural,Female,28,"""None """,,,No,Yes,No,No,No,No,No,No,No,No,500,"""None of these(DO NOT READ OUT)""",,,,,,No,No,No,No,More than KSh 500,More than 3 hours,,,More than KSh 500,About 1 to 3 hours,,No Female HH head,,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1 - 1,000",< KSh 3000,0
Homabay,10243014,Rural,Female,18,"""Some secondary""",,Some primary,No,No,No,No,No,No,No,No,No,Yes,200,A bank,,,,,,No,No,No,No,Between KSh 101- 200,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,Primary,Secondary,Never had,Never had,Never had,Never had,KSh 101 - 1500,No,No,"KSh 1 - 1,000",< KSh 3000,0
Kirinyaga,10120021,Rural,Male,16,"""Primary completed""",,"""Some secondary""",No,No,No,No,No,No,No,No,No,Yes,500,"""None of these(DO NOT READ OUT)""",,,,,,No,No,,Yes,Between KSh 51- 100,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Primary,Secondary,Primary,Never had,Never had,Never had,Currently have,KSh 101 - 1500,Yes,No,"KSh 1 - 1,000",< KSh 3000,1
Kajiado,10234074,Rural,Female,38,"""None """,,,No,Yes,No,No,No,No,No,No,No,No,200,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,More than KSh 500,More than 3 hours,,,More than KSh 500,More than 3 hours,,No Female HH head,,Never had,Never had,Never had,Currently have,KSh 101 - 1500,Yes,Yes,"KSh 1 - 1,000",< KSh 3000,1
Kiambu,10222110,Urban,Male,48,"""Primary completed""",,Some primary,No,No,No,No,Yes,No,No,No,No,No,11000,A bank,,,No,,,,,,,Less than KSh 50,About 10 to 30 minutes,,,Less than KSh 50,About 10 to 30 minutes,Primary,Primary,Primary,Currently have,Never had,Currently have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Bungoma,10139045,Rural,Male,18,"""Some secondary""",,Primary completed,No,No,No,Yes,No,No,No,No,No,Yes,500,Mobile money provider e.g Safaricom fuliza,,,,,No,No,No,No,No,Between KSh 51- 100,About 1 to 3 hours,,,Less than KSh 50,Between 30 minutes to 1 hour,Secondary,Primary,Secondary,Never had,Never had,Never had,Never had,KSh 101 - 1500,Yes,No,"KSh 1 - 1,000",< KSh 3000,0
Marsabit,10110169,Urban,Male,61,"""None """,,"""None""",No,No,No,No,No,No,No,No,No,Yes,8000,A bank,,,,,,No,No,,No,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,,,,Never had,Never had,Never had,Currently have,KSh 7501-15000,Yes,Yes,"KSh 5,001 - 10,000",KSh 7501-15000,1
Turkana,10223166,Urban,Female,24,"""Some primary """,,,No,No,No,Yes,No,No,No,No,No,No,1200,A bank,,,,,No,No,No,No,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Primary,No Female HH head,Primary,Never had,Never had,Never had,Used to have,KSh 101 - 1500,Yes,No,"KSh 1,001 - 3,000",< KSh 3000,0
