County,cluster_number,cluster_type,respondent_sex,respondent_age,education_completed_raw,education_completed_other,female_hh_highest_education,emergency_access_area_type,income_source_farming,income_source_employment,income_source_casual_work,income_source_self_employment,income_source_social_transfer,income_source_rental_income,income_source_investments,income_source_pension_annuity,income_source_family_support,monthly_income_ksh,trusted_financial_provider,insurance_doc_barrier_no_insurance,insurance_doc_barrier_not_in_own_name,loan_barrier_low_income_to_repay,loan_barrier_inadequate_documentation,savings_barrier_distrust_institutions,bank_barrier_distrust_banks,sacco_barrier_lack_of_trust,mobile_money_barrier_untrustworthy_agents,formal_account_barrier_distrust,cost_to_nearest_bank,walk_time_to_nearest_bank,cost_to_nearest_mobile_money_agent,walk_time_to_nearest_mobile_money_agent,cost_to_nearest_bank_agent,walk_time_to_nearest_bank_agent,education,education_femHH,education_anyHH,bank_usage,insurance_usage,mobile_bank_usage,mobile_money_usage,incomegp,mobile_money_access,mobile_money_active,incomegpnew,incomegp_new,financially_included
Isiolo,10211166,Urban,Female,37,"""Primary completed""",,,No,Yes,No,No,Yes,No,No,No,No,No,3000,A group / chama,,,,,,No,No,,,Less than KSh 50,Under 10 minutes,,,Less than KSh 50,Under 10 minutes,Primary,No Female HH head,Primary,Currently have,Currently have,Used to have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Kiambu,10222222,Urban,Male,32,"""Secondary completed """,,Primary completed,No,No,No,No,Yes,No,No,No,No,No,15000,Mobile money provider e.g Safaricom fuliza,,,,,,,No,,,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Secondary,Primary,Secondary,Currently have,Never had,Currently have,Currently have,KSh 7501-15000,Yes,Yes,"KSh 10,001-20,000",KSh 7501-15000,1
Nairobi City,10247270,Urban,Female,43,"""Primary completed""",,,No,No,No,No,Yes,No,No,No,No,No,30000,A bank,,,No,,,,No,,,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Close enough to walk to and fro -  No need to spend,Under 10 minutes,Primary,No Female HH head,Primary,Currently have,Never had,Currently have,Currently have,KSh 15001 - 30000,Yes,Yes,"KSh 20,001 - 50,000",KSh 15001 - 30000,1
Meru,10112145,Rural,Male,27,"""Some primary """,,,No,No,No,Yes,No,No,No,No,No,No,3000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,,Between KSh 101- 200,About 1 to 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,Primary,No Female HH head,Primary,Never had,Currently have,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Nyandarua,10218018,Rural,Female,47,"""Some secondary""",,,No,No,No,Yes,No,No,No,No,No,No,"""Don't know(DO NOT READ OUT)""",A Sacco,,,,,No,No,No,,No,Less than KSh 50,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,Between 30 minutes to 1 hour,Secondary,No Female HH head,Secondary,Used to have,Never had,Used to have,Currently have,Don't Know,Yes,Yes,Don't Know,Others,1
Kiambu,10222146,Urban,Male,36,"""University completed """,,,No,No,No,No,Yes,No,No,No,No,No,40000,Microfinance banks,,,No,,,,No,,Yes,Between KSh 51- 100,Between 30 minutes to 1 hour,Close enough to walk  No need to spend,About 10 to 30 minutes,,,Tertiary,No Female HH head,Tertiary,Currently have,Never had,Currently have,Currently have,KSh 30001 - 70000,Yes,Yes,"KSh 20,001 - 50,000",KSh 30001 - 70000,1
Laikipia,10231066,Rural,Male,27,"""Primary completed""",,,No,Yes,No,No,No,No,No,No,No,No,2000,A bank,,,,,,No,No,,Yes,More than KSh 500,More than 3 hours,,,Close enough to walk to and fro -  No need to spend,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Never had,Never had,Never had,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Tharaka-Nithi,10213126,Rural,Female,26,"""Secondary completed """,,No female household head/spouse,No,No,No,Yes,No,No,No,No,No,No,2000,Mobile money provider e.g Safaricom fuliza,,,,,,No,No,,No,Between KSh 201- 500,About 1 to 3 hours,,,Between KSh 201 - 500,About 1 to 3 hours,Secondary,No Female HH head,Secondary,Currently have,Never had,Currently have,Currently have,KSh 1501 - 3000,Yes,Yes,"KSh 1,001 - 3,000",< KSh 3000,1
Machakos,10216178,Urban,Female,43,Completed technical training after secondary school,,,No,No,No,No,Yes,No,No,No,No,No,7000,A bank,,,,,,,,,,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Tertiary,No Female HH head,Tertiary,Currently have,Currently have,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Bomet,10236046,Rural,Female,75,"""Secondary completed """,,"""None""",No,Yes,No,No,No,Yes,No,No,No,No,8000,A bank,,,,,,,No,No,No,Between KSh 101- 200,About 1 to 3 hours,,,Close enough to walk to and fro -  No need to spend,About 10 to 30 minutes,Secondary,,Secondary,Currently have,Never had,Never had,Never had,KSh 7501-15000,No,No,"KSh 5,001 - 10,000",KSh 7501-15000,1
West Pokot,10224162,Urban,Male,28,"""Secondary completed """,,No female household head/spouse,No,No,No,No,Yes,No,No,No,No,No,6000,A bank,,,No,,,,No,,No,Between KSh 51- 100,About 10 to 30 minutes,,,Between KSh 51 - 100,About 10 to 30 minutes,Secondary,No Female HH head,Secondary,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 5,001 - 10,000",KSh 3001 - 7500,1
Baringo,10230154,Urban,Female,47,"""Some primary """,,,No,No,No,No,No,Yes,No,No,No,Yes,4000,Mobile money provider e.g Safaricom fuliza,,,,,,,No,,No,Between KSh 51- 100,Between 30 minutes to 1 hour,,,Between KSh 51 - 100,Between 30 minutes to 1 hour,Primary,No Female HH head,Primary,Currently have,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
Turkana,10123101,Rural,Male,29,"""None """,,"""None""",No,Yes,No,No,Yes,No,No,No,No,No,4500,A bank,,,,,,No,No,,No,More than KSh 500,More than 3 hours,,,Between KSh 101 - 200,About 1 to 3 hours,,,,Never had,Never had,Never had,Currently have,KSh 3001 - 7500,Yes,Yes,"KSh 3,001 - 5,000",KSh 3001 - 7500,1
